sample_1,sample_2,true_label,predicted_label,distance
CVL0394_6,CVL0394_4,0,0,0.44642746
CVL0050_6,CVL0050_2,0,0,0.27668598
CVL0096_6,CVL0096_4,0,0,0.32610324
CVL0080_3,CVL0080_6,0,0,0.34246972
CVL0582_3,CVL0935_3,1,0,0.45223752
CVL0391_1,CVL0391_2,0,0,0.20357178
CVL0216_3,CVL0216_4,0,0,0.26133677
CVL0935_3,CVL0935_4,0,0,0.19744805
CVL0240_1,CVL0240_3,0,0,0.065781526
CVL0573_6,CVL0573_2,0,0,0.2327745
CVL0540_6,CVL0540_4,0,0,0.25059077
CVL0176_1,CVL0176_2,0,0,0.2008331
CVL0095_4,CVL0095_2,0,0,0.21380652
CVL0198_6,CVL0218_2,1,0,0.5425103
CVL0528_2,CVL0528_6,0,0,0.34176663
CVL0313_6,CVL0313_2,0,0,0.31610018
CVL0028_6,CVL0028_2,0,0,0.5996312
CVL1120_4,CVL1120_6,0,0,0.5527394
CVL0291_6,CVL0291_3,0,0,0.1778228
CVL0244_2,CVL0244_4,0,0,0.062269777
CVL0309_2,CVL0309_1,0,0,0.30076817
CVL0477_1,CVL0477_4,0,0,0.47288057
CVL1120_2,CVL1120_6,0,0,0.35750687
CVL0403_3,CVL0403_2,0,0,0.18639797
CVL0394_6,CVL0394_3,0,0,0.2528585
CVL0313_1,CVL0313_3,0,0,0.1731901
CVL0482_3,CVL0482_6,0,0,0.32230043
CVL0096_1,CVL0096_2,0,0,0.43281624
CVL1133_4,CVL1133_3,0,0,0.17437062
CVL0183_1,CVL0183_4,0,0,0.31388164
CVL0098_3,CVL0098_6,0,0,0.35541162
CVL0098_1,CVL0098_4,0,0,0.18926583
CVL0477_1,CVL0540_1,1,0,0.64961505
CVL0230_1,CVL0230_4,0,0,0.17390671
CVL0230_4,CVL0230_6,0,0,0.22951986
CVL0477_4,CVL0709_3,1,0,0.42213053
CVL0528_1,CVL0528_2,0,0,0.39494887
CVL0403_1,CVL0403_4,0,0,0.24213298
CVL0256_6,CVL0582_4,1,0,0.7285029
CVL0216_2,CVL0216_6,0,0,0.13565585
CVL0183_4,CVL0183_2,0,0,0.19985653
CVL0394_2,CVL0394_1,0,0,0.21297772
CVL0096_3,CVL0096_4,0,0,0.49760294
CVL0411_2,CVL0411_1,0,0,0.18912284
CVL0540_2,CVL0540_1,0,0,0.1638792
CVL0540_1,CVL0540_6,0,0,0.24751079
CVL0935_2,CVL0935_1,0,0,0.1286505
CVL0095_3,CVL0095_6,0,0,0.5593518
CVL0540_3,CVL0540_4,0,0,0.20731272
CVL0403_6,CVL0403_4,0,0,0.15762994
CVL0050_8,CVL0050_1,0,0,0.49559942
CVL0582_2,CVL0582_6,0,0,0.2912779
CVL0411_6,CVL0411_3,0,0,0.26130855
CVL0309_2,CVL0309_4,0,0,0.37092483
CVL0216_4,CVL0216_1,0,0,0.13674131
CVL0023_6,CVL0023_7,0,0,0.710259
CVL0528_4,CVL0528_6,0,0,0.22292526
CVL0157_6,CVL0157_4,0,0,0.3571356
CVL0717_6,CVL0717_2,0,0,0.42206118
CVL0313_3,CVL0313_4,0,0,0.13705808
CVL0230_1,CVL0230_2,0,0,0.24611571
CVL0232_6,CVL0309_6,1,0,0.74477774
CVL0020_3,CVL0020_7,0,0,0.3542596
CVL0215_1,CVL0215_4,0,0,0.33352903
CVL0244_4,CVL0244_6,0,0,0.065328464
CVL0582_6,CVL0582_3,0,0,0.24123462
CVL0394_6,CVL0394_2,0,0,0.2170373
CVL0313_1,CVL0313_4,0,0,0.12908754
CVL0157_3,CVL0157_2,0,0,0.39122704
CVL0098_2,CVL0098_3,0,0,0.38625768
CVL0411_6,CVL0411_1,0,0,0.22276379
CVL0028_6,CVL0028_7,0,0,0.49178267
CVL0528_1,CVL0528_3,0,0,0.11844835
CVL0096_3,CVL0096_1,0,0,0.1999764
CVL0220_1,CVL0220_2,0,0,0.5411299
CVL0220_3,CVL0220_6,0,0,0.08318919
CVL0220_1,CVL0240_4,1,0,0.1589014
CVL0477_2,CVL0477_3,0,0,0.30812195
CVL0098_2,CVL0098_4,0,0,0.29682115
CVL0095_6,CVL0095_2,0,0,0.5331076
CVL0524_1,CVL0524_4,0,0,0.25210786
CVL0050_7,CVL0411_1,1,0,0.49216288
CVL0216_4,CVL0216_6,0,0,0.32748356
CVL0411_3,CVL0411_4,0,0,0.3419848
CVL0411_1,CVL0963_4,1,0,0.6039668
CVL0709_1,CVL0709_6,0,0,0.48777312
CVL0477_1,CVL0477_3,0,0,0.6072029
CVL0232_6,CVL0232_4,0,0,0.12435224
CVL0935_1,CVL0935_4,0,0,0.28735024
CVL0020_1,CVL0020_7,0,0,0.263285
